          43 crystal
    0.000000    0.000000    0.000000   1.0
    0.000000    0.050000    0.050000   1.0
    0.000000    0.100000    0.100000   1.0
    0.000000    0.150000    0.150000   1.0
    0.000000    0.200000    0.200000   1.0
    0.000000    0.250000    0.250000   1.0
    0.000000    0.300000    0.300000   1.0
    0.000000    0.350000    0.350000   1.0
    0.000000    0.400000    0.400000   1.0
    0.000000    0.450000    0.450000   1.0
    0.000000    0.500000    0.500000   1.0
    0.050000    0.500000    0.550000   1.0
    0.100000    0.500000    0.600000   1.0
    0.150000    0.500000    0.650000   1.0
    0.200000    0.500000    0.700000   1.0
    0.250000    0.500000    0.750000   1.0
    0.285714    0.500000    0.714286   1.0
    0.321429    0.500000    0.678571   1.0
    0.357143    0.500000    0.642857   1.0
    0.392857    0.500000    0.607143   1.0
    0.428571    0.500000    0.571429   1.0
    0.464286    0.500000    0.535714   1.0
    0.500000    0.500000    0.500000   1.0
    0.444444    0.444444    0.444444   1.0
    0.388889    0.388889    0.388889   1.0
    0.333333    0.333333    0.333333   1.0
    0.277778    0.277778    0.277778   1.0
    0.222222    0.222222    0.222222   1.0
    0.166667    0.166667    0.166667   1.0
    0.111111    0.111111    0.111111   1.0
    0.055556    0.055556    0.055556   1.0
    0.000000    0.000000    0.000000   1.0
    0.034091    0.034091    0.068182   1.0
    0.068182    0.068182    0.136364   1.0
    0.102273    0.102273    0.204545   1.0
    0.136364    0.136364    0.272727   1.0
    0.170455    0.170455    0.340909   1.0
    0.204545    0.204545    0.409091   1.0
    0.238636    0.238636    0.477273   1.0
    0.272727    0.272727    0.545455   1.0
    0.306818    0.306818    0.613636   1.0
    0.340909    0.340909    0.681818   1.0
    0.375000    0.375000    0.750000   1.0
