  0.00000000E+00  0.10837560E+02
  0.82277490E-02  0.10838521E+02
  0.16455498E-01  0.10841402E+02
  0.24683247E-01  0.10846188E+02
  0.32910996E-01  0.10852860E+02
  0.41138745E-01  0.10861388E+02
  0.49366494E-01  0.10871735E+02
  0.57594243E-01  0.10883855E+02
  0.65821992E-01  0.10897698E+02
  0.74049741E-01  0.10913202E+02
  0.82277490E-01  0.10930303E+02
  0.90505238E-01  0.10948930E+02
  0.98732987E-01  0.10969005E+02
  0.10696074E+00  0.10990446E+02
  0.11518849E+00  0.11013167E+02
  0.12341623E+00  0.11037078E+02
  0.13164398E+00  0.11062086E+02
  0.13987173E+00  0.11088097E+02
  0.14809948E+00  0.11115013E+02
  0.15632723E+00  0.11142737E+02
  0.16455498E+00  0.11171171E+02
  0.17278273E+00  0.11200217E+02
  0.18101048E+00  0.11229779E+02
  0.18923823E+00  0.11259761E+02
  0.19746597E+00  0.11290071E+02
  0.20569372E+00  0.11320619E+02
  0.21392147E+00  0.11351318E+02
  0.22214922E+00  0.11382086E+02
  0.23037697E+00  0.11412843E+02
  0.23860472E+00  0.11443515E+02
  0.24683247E+00  0.11474034E+02
  0.25506022E+00  0.11504335E+02
  0.26328797E+00  0.11534360E+02
  0.27151572E+00  0.11564057E+02
  0.27974346E+00  0.11593377E+02
  0.28797121E+00  0.11622279E+02
  0.29619896E+00  0.11650728E+02
  0.30442671E+00  0.11678694E+02
  0.31265446E+00  0.11706152E+02
  0.32088221E+00  0.11733084E+02
  0.32910996E+00  0.11759476E+02
  0.33733771E+00  0.11785319E+02
  0.34556546E+00  0.11810610E+02
  0.35379320E+00  0.11835348E+02
  0.36202095E+00  0.11859539E+02
  0.37024870E+00  0.11883190E+02
  0.37847645E+00  0.11906314E+02
  0.38670420E+00  0.11928924E+02
  0.39493195E+00  0.11951037E+02
  0.40315970E+00  0.11972671E+02
  0.41138745E+00  0.11993847E+02
  0.41961520E+00  0.12014587E+02
  0.42784295E+00  0.12034912E+02
  0.43607069E+00  0.12054844E+02
  0.44429844E+00  0.12074405E+02
  0.45252619E+00  0.12093618E+02
  0.46075394E+00  0.12112503E+02
  0.46898169E+00  0.12131078E+02
  0.47720944E+00  0.12149364E+02
  0.48543719E+00  0.12167375E+02
  0.49366494E+00  0.12185127E+02
  0.50189269E+00  0.12202632E+02
  0.51012043E+00  0.12219900E+02
  0.51834818E+00  0.12236939E+02
  0.52657593E+00  0.12253754E+02
  0.53480368E+00  0.12270348E+02
  0.54303143E+00  0.12286722E+02
  0.55125918E+00  0.12302875E+02
  0.55948693E+00  0.12318801E+02
  0.56771468E+00  0.12334495E+02
